name,category,price,stock,description
"Polycab Single Core 1.5 sq mm Green Wire (90m)",wires,975.37,31,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Polycab Single Core 1.5 sq mm Yellow Wire (90m)",wires,987.33,33,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Polycab Single Core 1.5 sq mm Blue Wire (90m)",wires,950.35,27,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Polycab Single Core 2.5 sq mm Red Wire (90m)",wires,1578.66,75,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Polycab Single Core 2.5 sq mm Black Wire (90m)",wires,1589.96,57,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Polycab Single Core 2.5 sq mm Green Wire (90m)",wires,1602.96,32,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Polycab Single Core 2.5 sq mm Yellow Wire (90m)",wires,1525.60,79,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Polycab Single Core 2.5 sq mm Blue Wire (90m)",wires,1556.58,46,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Polycab Single Core 4.0 sq mm Red Wire (90m)",wires,2422.62,38,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Polycab Single Core 4.0 sq mm Black Wire (90m)",wires,2530.83,74,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Polycab Single Core 4.0 sq mm Green Wire (90m)",wires,2409.87,84,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Polycab Single Core 4.0 sq mm Yellow Wire (90m)",wires,2487.98,53,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Polycab Single Core 4.0 sq mm Blue Wire (90m)",wires,2346.71,44,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Polycab Single Core 6.0 sq mm Red Wire (90m)",wires,3740.02,61,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Polycab Single Core 6.0 sq mm Black Wire (90m)",wires,3782.14,58,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Polycab Single Core 6.0 sq mm Green Wire (90m)",wires,3564.41,97,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Polycab Single Core 6.0 sq mm Yellow Wire (90m)",wires,3473.70,42,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Polycab Single Core 6.0 sq mm Blue Wire (90m)",wires,3621.54,97,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Polycab Single Core 10.0 sq mm Red Wire (90m)",wires,6205.05,78,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Polycab Single Core 10.0 sq mm Black Wire (90m)",wires,6267.03,63,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Polycab Single Core 10.0 sq mm Green Wire (90m)",wires,6040.94,37,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Polycab Single Core 10.0 sq mm Yellow Wire (90m)",wires,6184.83,34,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Polycab Single Core 10.0 sq mm Blue Wire (90m)",wires,6136.23,77,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Finolex Single Core 0.75 sq mm Red Wire (90m)",wires,432.20,42,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Finolex Single Core 0.75 sq mm Black Wire (90m)",wires,447.86,93,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Finolex Single Core 0.75 sq mm Green Wire (90m)",wires,462.34,28,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Finolex Single Core 0.75 sq mm Yellow Wire (90m)",wires,430.51,49,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Finolex Single Core 0.75 sq mm Blue Wire (90m)",wires,437.33,78,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Finolex Single Core 1.0 sq mm Red Wire (90m)",wires,647.91,89,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Finolex Single Core 1.0 sq mm Black Wire (90m)",wires,628.64,39,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Finolex Single Core 1.0 sq mm Green Wire (90m)",wires,636.97,104,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Finolex Single Core 1.0 sq mm Yellow Wire (90m)",wires,622.95,78,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Finolex Single Core 1.0 sq mm Blue Wire (90m)",wires,653.19,82,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Finolex Single Core 1.5 sq mm Red Wire (90m)",wires,986.37,92,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Finolex Single Core 1.5 sq mm Black Wire (90m)",wires,948.05,69,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Finolex Single Core 1.5 sq mm Green Wire (90m)",wires,983.79,72,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Finolex Single Core 1.5 sq mm Yellow Wire (90m)",wires,903.50,31,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Finolex Single Core 1.5 sq mm Blue Wire (90m)",wires,923.44,84,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Finolex Single Core 2.5 sq mm Red Wire (90m)",wires,1485.01,100,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Finolex Single Core 2.5 sq mm Black Wire (90m)",wires,1494.88,84,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Finolex Single Core 2.5 sq mm Green Wire (90m)",wires,1536.89,39,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Finolex Single Core 2.5 sq mm Yellow Wire (90m)",wires,1627.41,61,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Finolex Single Core 2.5 sq mm Blue Wire (90m)",wires,1539.41,89,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Finolex Single Core 4.0 sq mm Red Wire (90m)",wires,2413.08,32,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Finolex Single Core 4.0 sq mm Black Wire (90m)",wires,2526.01,25,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Finolex Single Core 4.0 sq mm Green Wire (90m)",wires,2468.03,90,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Finolex Single Core 4.0 sq mm Yellow Wire (90m)",wires,2402.68,92,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Finolex Single Core 4.0 sq mm Blue Wire (90m)",wires,2517.33,86,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Finolex Single Core 6.0 sq mm Red Wire (90m)",wires,3586.50,58,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Finolex Single Core 6.0 sq mm Black Wire (90m)",wires,3609.08,71,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Finolex Single Core 6.0 sq mm Green Wire (90m)",wires,3567.49,89,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Finolex Single Core 6.0 sq mm Yellow Wire (90m)",wires,3701.38,26,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Finolex Single Core 6.0 sq mm Blue Wire (90m)",wires,3738.45,69,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Finolex Single Core 10.0 sq mm Red Wire (90m)",wires,6285.02,66,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Finolex Single Core 10.0 sq mm Black Wire (90m)",wires,5984.92,34,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Finolex Single Core 10.0 sq mm Green Wire (90m)",wires,6295.47,89,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Finolex Single Core 10.0 sq mm Yellow Wire (90m)",wires,5997.05,98,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Finolex Single Core 10.0 sq mm Blue Wire (90m)",wires,6418.21,29,"Finolex Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Havells Single Core 0.75 sq mm Red Wire (90m)",wires,463.82,90,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Havells Single Core 0.75 sq mm Black Wire (90m)",wires,466.89,89,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Havells Single Core 0.75 sq mm Green Wire (90m)",wires,451.58,102,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Havells Single Core 0.75 sq mm Yellow Wire (90m)",wires,438.89,50,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Havells Single Core 0.75 sq mm Blue Wire (90m)",wires,438.38,25,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Havells Single Core 1.0 sq mm Red Wire (90m)",wires,636.36,78,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Havells Single Core 1.0 sq mm Black Wire (90m)",wires,640.57,60,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Havells Single Core 1.0 sq mm Green Wire (90m)",wires,648.47,41,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Havells Single Core 1.0 sq mm Yellow Wire (90m)",wires,682.17,31,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Havells Single Core 1.0 sq mm Blue Wire (90m)",wires,632.03,44,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Havells Single Core 1.5 sq mm Red Wire (90m)",wires,972.74,68,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Havells Single Core 1.5 sq mm Black Wire (90m)",wires,942.22,55,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Havells Single Core 1.5 sq mm Green Wire (90m)",wires,923.42,64,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Havells Single Core 1.5 sq mm Yellow Wire (90m)",wires,991.10,40,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Havells Single Core 1.5 sq mm Blue Wire (90m)",wires,927.78,58,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Havells Single Core 2.5 sq mm Red Wire (90m)",wires,1543.88,39,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Havells Single Core 2.5 sq mm Black Wire (90m)",wires,1503.97,97,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Havells Single Core 2.5 sq mm Green Wire (90m)",wires,1604.72,80,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Havells Single Core 2.5 sq mm Yellow Wire (90m)",wires,1504.97,98,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Havells Single Core 2.5 sq mm Blue Wire (90m)",wires,1529.24,40,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 2.5 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Air conditioners & geysers."
"Havells Single Core 4.0 sq mm Red Wire (90m)",wires,2505.85,64,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Havells Single Core 4.0 sq mm Black Wire (90m)",wires,2525.61,28,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Havells Single Core 4.0 sq mm Green Wire (90m)",wires,2362.31,65,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Havells Single Core 4.0 sq mm Yellow Wire (90m)",wires,2340.20,70,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Havells Single Core 4.0 sq mm Blue Wire (90m)",wires,2436.82,63,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 4.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - High load mains & ACs."
"Havells Single Core 6.0 sq mm Red Wire (90m)",wires,3767.61,57,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Havells Single Core 6.0 sq mm Black Wire (90m)",wires,3613.26,30,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Havells Single Core 6.0 sq mm Green Wire (90m)",wires,3757.13,59,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Havells Single Core 6.0 sq mm Yellow Wire (90m)",wires,3508.20,53,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Havells Single Core 6.0 sq mm Blue Wire (90m)",wires,3733.54,74,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 6.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Main distribution boards."
"Havells Single Core 10.0 sq mm Red Wire (90m)",wires,6086.07,81,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Havells Single Core 10.0 sq mm Black Wire (90m)",wires,6187.13,89,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Havells Single Core 10.0 sq mm Green Wire (90m)",wires,6155.52,88,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Havells Single Core 10.0 sq mm Yellow Wire (90m)",wires,6208.80,82,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Havells Single Core 10.0 sq mm Blue Wire (90m)",wires,6196.14,46,"Havells Flame Retardant (FR) multi-strand copper wire. Size: 10.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Sub-main power cables."
"Anchor Single Core 0.75 sq mm Red Wire (90m)",wires,457.72,81,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Anchor Single Core 0.75 sq mm Black Wire (90m)",wires,447.04,32,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Anchor Single Core 0.75 sq mm Green Wire (90m)",wires,462.68,44,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Anchor Single Core 0.75 sq mm Yellow Wire (90m)",wires,441.42,54,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Anchor Single Core 0.75 sq mm Blue Wire (90m)",wires,457.88,102,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Anchor Single Core 1.0 sq mm Red Wire (90m)",wires,639.59,75,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Anchor Single Core 1.0 sq mm Black Wire (90m)",wires,659.40,67,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Anchor Single Core 1.0 sq mm Green Wire (90m)",wires,645.47,46,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Anchor Single Core 1.0 sq mm Yellow Wire (90m)",wires,654.49,47,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Anchor Single Core 1.0 sq mm Blue Wire (90m)",wires,633.22,31,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Anchor Single Core 1.5 sq mm Red Wire (90m)",wires,950.18,34,"Anchor Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
